elements,time(ms)
1000,0
2000,3
3000,8
4000,15
5000,24
6000,35
7000,48
8000,66
9000,80
10000,99
11000,120
12000,143
13000,168
14000,194
15000,223
16000,254
17000,287
18000,322
19000,359
20000,399
21000,439
22000,483
23000,526
24000,573
25000,622
26000,673
27000,726
28000,781
29000,838
30000,896
31000,958
32000,1021
33000,1086
34000,1151
35000,1221
36000,1291
37000,1365
38000,1440
39000,1517
40000,1595
41000,1677
42000,1759
43000,1844
44000,1931
45000,2019
46000,2110
47000,2203
48000,2297
49000,2394
50000,2492
51000,2594
52000,2695
53000,2800
54000,2908
55000,3017
56000,3127
57000,3239
58000,3353
59000,3472
60000,3589
61000,3711
62000,3832
63000,3958
64000,4083
65000,4212
66000,4341
67000,4476
68000,4610
69000,4746
70000,4886
71000,5024
72000,5169
73000,5314
74000,5458
75000,5609
76000,5759
77000,5914
78000,6069
79000,6225
80000,6385
81000,6547
82000,6711
83000,6873
84000,7039
85000,7206
86000,7374
87000,7548
88000,7721
89000,7898
90000,8075
91000,8258
92000,8439
93000,8624
94000,8810
95000,8999
96000,9191
97000,9384
98000,9578
99000,9773
100000,9971
