elements,time(ms)
1000,0
2000,3
3000,8
4000,15
5000,24
6000,34
7000,46
8000,61
9000,79
10000,97
11000,116
12000,138
13000,163
14000,189
15000,216
16000,246
17000,278
18000,312
19000,348
20000,386
21000,427
22000,468
23000,510
24000,556
25000,603
26000,653
27000,703
28000,757
29000,812
30000,868
31000,927
32000,990
33000,1053
34000,1117
35000,1182
36000,1251
37000,1321
38000,1394
39000,1472
40000,1545
41000,1623
42000,1703
43000,1786
44000,1872
45000,1955
46000,2044
47000,2133
48000,2228
49000,2318
50000,2413
51000,2514
52000,2610
53000,2711
54000,2818
55000,2920
56000,3027
57000,3138
58000,3247
59000,3362
60000,3475
61000,3591
62000,3713
63000,3830
64000,3955
65000,4077
66000,4207
67000,4332
68000,4465
69000,4597
70000,4728
71000,4867
72000,5002
73000,5146
74000,5286
75000,5428
76000,5577
77000,5724
78000,5874
79000,6023
80000,6179
81000,6335
82000,6491
83000,6648
84000,6811
85000,6979
86000,7139
87000,7306
88000,7475
89000,7646
90000,7819
91000,7993
92000,8169
93000,8346
94000,8527
95000,8711
96000,8894
97000,9080
98000,9268
99000,9463
100000,9651
